,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N
113,(3R)-(-)-dihydrocitronellyl nitrile,170284,,CC(C)CCC[C@@H](C)CC#N,CC(C)CCC[C@@H](C)CC#N,ChemDraw + Cactus,DW,7.50E+01,ppb,75.0,floral and slightly citrus odor with natty and fatty topnote,,56
114,(3S)-(+)-2-methylene-citronellal,129702270,,C[C@@H](CCC=C(C)C)C(=C)C=O,C[C@@H](CCC=C(C)C)C(=C)C=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,clean citrus odor like bergamot,,57
115,(3R)-(-)-2-methylene-citronellal,129702270,,C[C@H](CCC=C(C)C)C(=C)C=O,C[C@H](CCC=C(C)C)C(=C)C=O,ChemDraw + Cactus,DW,2.50E+02,ppb,250.0,citrus odor with citronellal-like side note,,57
116,(3S)-(+)-2-methylene-citronellol,129670839,,C[C@@H](CCC=C(C)C)C(=C)CO,C[C@@H](CCC=C(C)C)C(=C)CO,ChemDraw + Cactus,DW,5.00E+02,ppb,500.0,fresh citrus peel,,58
117,(3R)-(-)-2-methylene-citronellol,129670839,,C[C@H](CCC=C(C)C)C(=C)CO,C[C@H](CCC=C(C)C)C(=C)CO,ChemDraw + Cactus,DW,1.00E+03,ppb,1000.0,citrus odor with aliphatic aldehyde,,58
118,"(2R,4R)-4-acetylthio-2-heptanol",78113337,,CCC[C@H](C[C@@H](C)O)SC(C)=O,CCC[C@H](C[C@@H](C)O)SC(C)=O,Cactus,DW,1.72E+01,ng/L air,0.0172,"savory, sweet (by GC-O)",,59
119,"(2S, 4S)-4-acetylthio-2-heptanol",78113337,,CCC[C@@H](C[C@H](C)O)SC(C)=O,CCC[C@@H](C[C@H](C)O)SC(C)=O,Cactus,DW,3.00E-02,ng/L air,2.9999999999999997e-05,"sulfury, onion, sweet (by GC-O)",,59
120,"(2S,4R)-4-acetylthio-2-heptanol",78113337,,CCC[C@H](C[C@H](C)O)SC(C)=O,CCC[C@H](C[C@H](C)O)SC(C)=O,Cactus,DW,2.00E-01,ng/L air,0.0002,"grapefruit, refreshing (by GC-O)",,60
121,"(2R,4S)-4-acetylthio-2-heptanol",78113337,,CCC[C@@H](C[C@@H](C)O)SC(C)=O,CCC[C@@H](C[C@@H](C)O)SC(C)=O,Cactus,DW,4.90E+00,ng/L air,0.0049,"grapefruit, fruity, sweet (by GC-O)",,60
122,"(2R,4R)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@H](C[C@@H](C)OC(C)=O)SC(C)=O,CCC[C@H](C[C@@H](C)OC(C)=O)SC(C)=O,Cactus,DW,5.50E+00,ng/L air,0.0055,"sulfury, fruity, fresh (by GC-O)",,61
123,"(2S,4S)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@@H](C[C@H](C)OC(C)=O)SC(C)=O,CCC[C@@H](C[C@H](C)OC(C)=O)SC(C)=O,Cactus,DW,9.00E-02,ng/L air,9e-05,"sulfury, onion, fruity (by GC-O)",,61
124,"(2S,4R)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@H](C[C@H](C)OC(C)=O)SC(C)=O,CCC[C@H](C[C@H](C)OC(C)=O)SC(C)=O,Cactus,DW,3.00E-01,ng/L air,0.0003,"sulfury, grapefruit (by GC-O)",,62
125,"(2R,4S)-4-acetylthio-2-heptyl acetate",8159,,CCC[C@@H](C[C@@H](C)OC(C)=O)SC(C)=O,CCC[C@@H](C[C@@H](C)OC(C)=O)SC(C)=O,Cactus,DW,1.30E+00,ng/L air,0.0013,green (by GC-O),,62
126,"(2R,4R)-4-mercapto-2-heptyl acetate",8159,,CCC[C@@H](S)C[C@@H](C)OC(C)=O,CCC[C@@H](S)C[C@@H](C)OC(C)=O,Cactus,DW,2.10E+00,ng/L air,0.0021,"sulfury, sweet (by GC-O)",,63
127,"(2S,4S)-4-mercapto-2-heptyl acetate",8159,,CCC[C@H](S)C[C@H](C)OC(C)=O,CCC[C@H](S)C[C@H](C)OC(C)=O,Cactus,DW,3.00E-02,ng/L air,2.9999999999999997e-05,"sulfury, onion (by GC-O)",,63
128,"(2R,4S)-4-mercapto-2-heptyl acetate ",8159,,CCC[C@H](S)C[C@@H](C)OC(C)=O,CCC[C@H](S)C[C@@H](C)OC(C)=O,Cactus,DW,2.00E-01,ng/L air,0.0002,"sulfury, passion fruit (by GC-O)",,64
129,"(2R,4R)-4-mercapto-2-heptyl acetate",8159,,CCC[C@@H](S)C[C@@H](C)OC(C)=O,CCC[C@@H](S)C[C@@H](C)OC(C)=O,Cactus,DW,6.10E+00,ng/L air,0.0061,"sulfury, grapefruit (by GC-O)",,64
130,"(2R,4R)-4-mercapto-2-heptanol",78113334,,CCC[C@@H](S)C[C@@H](C)O,CCC[C@@H](S)C[C@@H](C)O,Cactus,DW,1.00E-01,ng/L air,0.0001,"sulfury, fruity, flowery (by GC-O)",,65
131,"(2S,4S)-4-mercapto-2-heptanol",78113334,,CCC[C@H](S)C[C@H](C)O,CCC[C@H](S)C[C@H](C)O,Cactus,DW,5.00E-02,ng/L air,5e-05,"sulfury, onion, sweet (by GC-O)",,65
132,"(2S,4R)-4-mercapto-2-heptanol",78113334,,CCC[C@@H](S)C[C@H](C)O,CCC[C@@H](S)C[C@H](C)O,Cactus,DW,2.00E-01,ng/L air,0.0002,"sulfury, savory, meaty (by GC-O)",,66
133,"(2R,4S)-4-mercapto-2-heptanol",78113334,,CCC[C@H](S)C[C@@H](C)O,CCC[C@H](S)C[C@@H](C)O,Cactus,DW,3.00E-01,ng/L air,0.0003,"sulfury, green, dill (by GC-O)",,66
134,(4R)-4-mercapto-2-decanone,101898840,,CCCCCC[C@@H](S)CC(C)=O,CCCCCC[C@@H](S)CC(C)=O,Cactus,DW,3.60E+01,ng/L air,0.036000000000000004,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,67
135,(4S)-4-mercapto-2-decanone,101898840,,CCCCCC[C@H](S)CC(C)=O,CCCCCC[C@H](S)CC(C)=O,Cactus,DW,3.60E+01,ng/L air,0.036000000000000004,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,67
136,(4R)-4-mercapto-2-nonanone,101898840,,CCCCC[C@@H](S)CC(C)=O,CCCCC[C@@H](S)CC(C)=O,Cactus,DW,8.60E-01,ng/L air,0.00086,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,68
137,(4S)-4-mercapto-2-nonanone,101898840,,CCCCC[C@H](S)CC(C)=O,CCCCC[C@H](S)CC(C)=O,Cactus,DW,7.60E-01,ng/L air,0.0007599999999999999,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,68
138,(4R)-4-mercapto-2-octanone,132990188,,CCCC[C@H](CC(=O)C)S,,,,9.00E-02,ng/L air,9e-05,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,69
139,(4S)-4-mercapto-2-octanone,101898839,,CCCC[C@H](S)CC(C)=O,CCCC[C@H](S)CC(C)=O,Cactus,DW,4.00E-02,ng/L air,4e-05,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,69
140,(4R)-4-mercapto-2-heptanone,101512728,,CCC[C@@H](S)CC(C)=O,CCC[C@@H](S)CC(C)=O,Cactus,DW,7.90E-01,ng/L air,0.00079,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,70
141,(4S)-4-mercapto-2-heptanone,101512728,,CCC[C@H](S)CC(C)=O,CCC[C@H](S)CC(C)=O,Cactus,DW,2.20E-01,ng/L air,0.00022,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,70
142,(4R)-4-mercapto-2-hexanone,57149131,,CC[C@@H](S)CC(C)=O,CC[C@@H](S)CC(C)=O,Cactus,DW,6.90E+01,ng/L air,0.069,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,71
143,(4S)-4-mercapto-2-hexanone,57149131,,CC[C@H](S)CC(C)=O,CC[C@H](S)CC(C)=O,Cactus,DW,4.50E-01,ng/L air,0.0006900000000000001,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,71
144,(4R)-4-mercapto-2-pentanone,76971681,,C[C@H](CC(=O)C)S,,,,1.20E+00,ng/L air,0.0012,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,72
145,(4S)-4-mercapto-2-pentanone,527393,,C[C@H](S)CC(C)=O,C[C@H](S)CC(C)=O,Cactus,DW,9.90E-01,ng/L air,0.00099,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,72
146,(4R)-4-acetylthio-2-decanone,12741,,CCCCCC[C@H](CC(C)=O)SC(C)=O,CCCCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,7.60E+03,ng/L air,7.6,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,73
147,(4S)-4-acetylthio-2-decanone,12741,,CCCCCC[C@@H](CC(C)=O)SC(C)=O,CCCCCC[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,8.30E+03,ng/L air,8.3,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,73
148,(4R)-4-acetylthio-2-nonanone,13187,,CCCCC[C@H](CC(C)=O)SC(C)=O,CCCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.00E+02,ng/L air,0.2,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,74
149,(4S)-4-acetylthio-2-nonanone,13187,,CCCCC[C@@H](CC(C)=O)SC(C)=O,CCCCC[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,5.00E+02,ng/L air,0.5,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,74
150,(4R)-4-acetylthio-2-octanone,101898843,,CCCC[C@H](CC(C)=O)SC(C)=O,CCCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.40E+01,ng/L air,0.024,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,75
151,(4S)-4-acetylthio-2-octanone,101898843,,CCCC[C@@H](CC(C)=O)SC(C)=O,CCCC[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,5.70E+01,ng/L air,0.057,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,75
152,(4R)-4-acetylthio-2-heptanone,101898842,,CCC[C@H](CC(C)=O)SC(C)=O,CCC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.20E+01,ng/L air,0.022000000000000002,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,76
153,(4S)-4-acetylthio-2-heptanone,101898842,,CCC[C@@H](CC(C)=O)SC(C)=O,CCC[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,2.10E+01,ng/L air,0.021,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,76
154,(4R)-4-acetylthio-2-hexanone,89552655,,CC[C@H](CC(C)=O)SC(C)=O,CC[C@H](CC(C)=O)SC(C)=O,Cactus,DW,1.80E+03,ng/L air,0.0018,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,77
155,(4S)-4-acetylthio-2-hexanone,89552655,,CC[C@@H](CC(C)=O)SC(C)=O,CC[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,3.50E+02,ng/L air,0.35,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,77
156,(4R)-4-acetylthio-2-pentanone,14383536,,C[C@H](CC(C)=O)SC(C)=O,C[C@H](CC(C)=O)SC(C)=O,Cactus,DW,2.30E+02,ng/L air,0.23,"more unpleasant (catty, sulfury) descriptions for the (R)-enantiomer (by GC-O)",,78
157,(4S)-4-acetylthio-2-pentanone,14383536,,C[C@@H](CC(C)=O)SC(C)=O,C[C@@H](CC(C)=O)SC(C)=O,Cactus,DW,1.10E+02,ng/L air,0.11,"more fruity-pleasant (grapefruit, blackcurrant) notes for the (S)-enantiomer (by GC-O)",,78
158,Ethyl (2S)-2-hydroxy-4-methylpentanoate,13237362,,CCOC(=O)[C@H](CC(C)C)O,,,,5.50E+01,ppb,55.0,fresh blackberry aroma. Both enantiomers have quite similar aromatic nuances.,,79
159,Ethyl (2R)-2-hydroxy-4-methylpentanoate,10909860,,CCOC(=O)[C@@H](CC(C)C)O,,,,1.26E+02,ppb,126.0,fresh blackberry aroma. Both enantiomers have quite similar aromatic nuances.,,79
160,D- Proline,8988,,C1C[C@@H](NC1)C(=O)O,,,,1.15E+04,ppm,11500000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments)",,80
161,L- Proline,145742,,C1C[C@H](NC1)C(=O)O,,,,1.15E+04,ppm,11500000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments)",,80
162,L- Proline,145742,,C1C[C@H](NC1)C(=O)O,,,,8.64E+03,ppm,8640000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments",,81
163,D- Proline,8988,,C1C[C@@H](NC1)C(=O)O,,,,8.64E+03,ppm,8640000.0,"smell of ""semen"", ""sperm"", and ""chlorine"" (panelists spontaneous comments",,81
164,D- Cysteine,92851,,C([C@H](C(=O)O)N)S,,,,2.67E+01,ppm,26700.0,"""sulfur"" and ""rotten eggss"" (panelists spontaneous comments)",,82
165,L- Cysteine,60960,,C([C@@H](C(=O)O)N)S,C([C@@H](C(=O)O)N)S,PubChem,DW,2.42E+01,ppm,24200.0,"""sulfur"" and ""rotten eggss"" (panelists spontaneous comments)",,82
166,D- Methionine,84815,,CSCC[C@H](C(=O)O)N,,,,1.50E+00,ppm,150000.0,"""moldy"", ""old potatoes"" and ""rotten dairy products"" (panelists spontaneous comments)",,83
167,L-Methionine,6137,,CSCC[C@@H](C(=O)O)N,,,,1.19E+01,ppm,11900.0,"""moldy"", ""old potatoes"" and ""rotten dairy products"" (panelists spontaneous comments)",,83
168,(+)-(3S)-1-Methoxyhexane-3-thiol,121489460,,CCC[C@@H](CCOC)S  ,CCC[C@@H](CCOC)S  ,PubChem,DW,0.04 * 10^(-3),ng/L air,4e-08,In addition to the herbaceous and (clary) sage odor tonalities it has strong connotations of burnt sulfur and alliaceous notes and evokes associations with human olfactory axillary perspiration,,84
169,(-)-(3R)-1-Methoxyhexane-3-thiol,121489460,"Molecule name wrong, was (-)-(3S)-1-Methoxyhexane-3-thiol",CCC[C@H](CCOC)S,CCC[C@H](CCOC)S,PubChem,DW,1.09 * 10^(-3),ng/L air,1.09e-06,"sulfury, herbaceous and onion-like and definitely lacks the unique clary-sage signal.",,84
170,(-)-(2S)-Heptane-2-thiol,76961480,These next four detection thresholds do not have units so I assumed ppm and converted to ppb in normalized detection threshold,CCCCC[C@H](C)S,CCCCC[C@H](C)S,PubChem,DW,1.00E+01,,10000.0,"sulfury, onion, with some mushroom note; No differences in odor note and threshold value were observed for the enantiomeric forms",,85
171,(+)-(2R)-Heptane-2-thiol,76961480,,CCCCC[C@@H](C)S,CCCCC[C@@H](C)S,PubChem,DW,1.00E+01,,10000.0,"bell pepper, fruity, vegetable at lower concentrations; at higher concentrations (100-1000 times the threshold) - sulfury, onion, with some mushroom note",,85
172,"(2R,3S)-3-mercapto-2-methyl-pentane-1-ol",6430888,,CC[C@H](S)[C@H](C)CO,CC[C@H](S)[C@H](C)CO,Cactus,DW,4.00E-02,,4.0,"broth-like, sweaty, leek-like",,86
173,"(2S, 3R)-3-mercapto-2-methyl-pentane-1-ol",6430888,,CC[C@@H](S)[C@@H](C)CO,CC[C@@H](S)[C@@H](C)CO,Cactus,DW,3.00E-02,,3.0,"broth-like, sweaty, leek-like",,86
174,(3R)-(-)-3-mercaptohexyl acetate,518810,,CCC[C@@H](S)CCOC(C)=O,CCC[C@@H](S)CCOC(C)=O,Cactus,DW,1.00E-01,ng/L air,0.0001,"In dilution, posseses attractive tropical fruity notes (for the (3R)-3-mercaptohexyl acetate and (3R)-3-mercaptohexyl butanoate) - (description of Werkhoff, et. al.); Werkhoff, et. al. described the 3-mercaptohexyl acetates as grapefruit, black currant, buccu, mango, passion fruit, guava",,87
175,(3S)-(+)-3-mercaptohexyl acetate,518810,,CCC[C@H](S)CCOC(C)=O,CCC[C@H](S)CCOC(C)=O,Cactus,DW,3.00E-02,ng/L air,2.9999999999999997e-05,"In dilution, posseses insignificant sulfury, herbaceous and oniony characteristics (for the (3S)-3-mercaptohexyl acetate and (3S)-3-mercaptohexyl butanoate) - (description of Werkhoff, et. al.)",,87
176,(3R)-3-mercaptohexan-1-ol,521348,,CCC[C@@H](S)CCO,CCC[C@@H](S)CCO,Cactus,DW,8.00E-02,ng/L air,8e-05,"In dilution, the (R)-enantiomer is distinctly weaker, showing only sulfury and herbaceous odor impressions - (description of Werkhoff, et. al.); The two enantiomers have quite different aromas; Tominaga et. al. (2006) indicates ""The R form is fruitier, with a zesty aroma reminiscent of grapefruit, while the S form smells more of passion fruit"".",,88
177,(3S)-3-mercaptohexan-1-ol,521348,,CCC[C@H](S)CCO,CCC[C@H](S)CCO,Cactus,DW,7.00E-02,ng/L air,7e-05,"In dilution, posseses interesting exotic and tropical fruit notes - (description of Werkhoff, et. al.); Werkhoff, et. al. described the 3-mercaptohexanols as fruity, juicy, tropical fruits, grapefruit, black currant, buccu, mango, guava; Tominaga et. al. (2006) indicates ""The R form is fruitier, with a zesty aroma reminiscent of grapefruit, while the S form smells more of passion fruit"".",,88
178,(2S)-3-mercapto-2-methylpropan-1-ol,529079,,C[C@@H](CO)CS,C[C@@H](CO)CS,Cactus,DW,35-40,ppb,35000.0,"Weaker than the (2R)-enantiomer. Although both of the enantiomers are characterized by the same broth and sweat odour, they have very different odour strength and thresholds.",,89
179,(2R)-3-mercapto-2-methylpropan-1-ol,529079,,C[C@H](CO)CS,C[C@H](CO)CS,Cactus,DW,3-7,ppb,3000.0,"Stronger than than the (2S)-enantiomer. Although both of the enantiomers are characterized by the same broth and sweat odour, they have very different odour strength and thresholds.",,89
180,Ethyl (R)-(-)-3-hydroxyhexanoate,440150,,CCC[C@H](CC(=O)OCC)O,,,,2.10E+00,ng/L air,0.0021,"sweet, woody, fruity.",,90
181,Ethyl (S)-(+)-3-hydroxyhexanoate,440151,Formerly ID 440150,CCC[C@@H](CC(=O)OCC)O,CCC[C@@H](CC(=O)OCC)O,PubChem,DW,2.65E+02,ng/L air,0.265,weak fruity and aldehyde-like.,,90
182,Methyl (R)-(-)-3-hydroxyhexanoate,13617479,,CCC[C@H](CC(=O)OC)O,,,,2.10E+00,ng/L air,0.0021,"sweet, woody, fruity",,91
183,Methyl (S)-(+)-3-hydroxyhexanoate,10855608,Formerly ID 13617479,CCC[C@@H](CC(=O)OC)O,CCC[C@@H](CC(=O)OC)O,PubChem,DW,4.38E+03,ng/L air,4.38,weak and aldehyde-like,,91
184,"Methyl (2S,3R)-2-hydroxy-3-methylpentanoate",95224206,,CC[C@@H](C)[C@@H](C(=O)OC)O,CC[C@@H](C)[C@@H](C(=O)OC)O,PubChem 13262415,DW,1.10E+02,ng/L air,0.11,Odor quality perceived at the sniffing port during GC-O = fruity,,92
185,"Methyl (2R,3S)-2-hydroxy-3-methylpentanoate",13262414,,CC[C@H](C)[C@H](C(=O)OC)O,,,,1.10E+01,ng/L air,0.011000000000000001,Odor quality perceived at the sniffing port during GC-O = fruity,,92
186,"Methyl (2R,3R)-2-hydroxy-3-methylpentanoate",49789056,,CC[C@@H](C)[C@H](C(=O)OC)O,CC[C@@H](C)[C@H](C(=O)OC)O,PubChem 13262413,DW,>200,ng/L air,0.201,Odor quality perceived at the sniffing port during GC-O = Not available,,93
187,"Methyl (2S,3S)-2-hydroxy-3-methylpentanoate",10419323,,CC[C@H](C)[C@@H](C(=O)OC)O,,,,1.00E+01,ng/L air,0.01,Odor quality perceived at the sniffing port during GC-O = fruity,,93
188,(-)-(S)-Undecavertol (ee = 75%),40565487,,CCCCC[C@@H](/C(=C/CC)/C)O,,,,4.70E+00,ng/L air,0.0047,"Weaker enantiomer, fruity-green, pinefir balsam note with aspects of tea, not so typical of Undecavertol.",,94
189,(+)-(R)-Undecavertol (ee = 93%),40428776,,CCCCC[C@H](/C(=C/CC)/C)O,,,,3.10E-01,ng/L air,0.00031,"Typical Undecavertol odour, floral, green, fresh, violet leaves, stronger and greener than the racemic commercial material, with aspects of cucumber and Neofolione (methyl non-2-enoate).",,94
190,(2S)-(+)-2-Butanol,131753087,,CC[C@H](C)O,CC[C@H](C)O,Cactus,DW,5.91E+01,ug/Liter,0.0591,"oily, wine-like (vinous)",,95
191,(2R)-(-)-2-Butanol,84682,Formerly ID 846682,CC[C@@H](C)O,CC[C@@H](C)O,PubChem,DW,4.18E+01,ug/Liter,0.0418,"oily, wine-like (vinous)",,95
192,(R)-(-)-alpha-phellandrene,442482,Formerly ID 443160,CC1=CC[C@@H](C=C1)C(C)C,CC1=CC[C@@H](C=C1)C(C)C,PubChem,DW,5.00E+02,ppb,500000.0,"terpene-like, medicinal",,96
193,(S)-(+)-alpha-phellandrene,443160,,CC1=CC[C@H](C=C1)C(C)C,,,,2.00E+02,ppb,200000.0,characteristic dill note,,96
194,"(1R,3S,4R)-(+)-isomenthol",91747890,,CCCC[C@@H]([C@@H](CC)O)C(C)C,,,,7.00E+02,ppb,700000.0,"musty, woody, fresh-carrot-minty, earthy-camphoraceous, slight cooling",,97
195,"(1S,3R,4S)-(-)-isomenthol",6432468,,C[C@H]1CC[C@H]([C@@H](C1)O)C(C)C,,,,6.00E+02,ppb,600000.0,"musty, sweet, herbaceous, earthy-camphoraceous, hay, slight cooling",,97
196,"(4R,2S)-(-)-cis-rose oxide",1712087,,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,5.00E-01,ppb,500.0,"floral green with clean sharp, light, rose green note, diffusive, strong; also has been described as powerful fruity",,98
197,"(4S,2R)-(+)-cis-rose oxide",6432154,,C[C@H]1CCO[C@H](C1)C=C(C)C,,,,5.00E+01,ppb,50000.0,"herbal, green floral, hay green, earthy, heavy; also has been described as sweet, floral",,98
198,"(4R,2R)-(-)-trans-rose oxide",7093102,,C[C@@H]1CCO[C@H](C1)C=C(C)C,,,,1.60E+02,ppb,160000.0,"floral green, green herbal (minty) fruity",,99
199,"(4S,2S)-(+)-trans-rose oxide",1712086,,C[C@H]1CCO[C@@H](C1)C=C(C)C,,,,8.00E+01,ppb,80000.0,"herbal green, floral fruity, herbal rose, citrus (bitter peel)",,99
200,"(4S,4S)-(-)-cis-dihydrorose oxide",27866,"Should be (2S,4S)?\nchanged pubchem id to https://pubchem.ncbi.nlm.nih.gov/#query=rose%20oxide",CC(C)C[C@H]1C[C@@H](C)CCO1,CC(C)C[C@H]1C[C@@H](C)CCO1,ChemDraw + Cactus,DW,4.50E+02,ppb,450000.0,"(herbal green) herbal, leafy green, heavy",,100
201,"(2R,4R)-(+)-cis-dihydrorose oxide",27866,"""""",CC(C)C[C@@H]1C[C@H](C)CCO1,CC(C)C[C@@H]1C[C@H](C)CCO1,ChemDraw + Cactus,DW,1.70E+01,ppb,17000.0,"(floral green) clean, ripe fruit herbal, rose green, leafy",,100
202,"(2S,4R)-(-)-trans-dihydrorose oxide",114530,,CC(C)C[C@H]1C[C@H](C)CCO1,CC(C)C[C@H]1C[C@H](C)CCO1,ChemDraw + Cactus,DW,1.50E+02,ppb,150000.0,"herbal floral (fruity, minty, dusty floral green)",,101
203,"(2R,4S)-(+)-trans-dihydrorose oxide",114530,,CC(C)C[C@@H]1C[C@@H](C)CCO1,CC(C)C[C@@H]1C[C@@H](C)CCO1,ChemDraw + Cactus,DW,1.60E+02,ppb,160000.0,"herbal green citrus (fruity, herbal fresh citrus (grapefruit))",,101
204,"(2S,2\\\'S,5\\\'S)-Lilac aldehyde",441572,With quality control I fixed this one but I couldn\'t find the alcohols,C[C@H](C=O)[C@@H]1CC[C@@](O1)(C)C=C,,,,2.00E-01,ng,0.0002,"fresh, flowery",,102
205,"(2R,2\\\'R,5\\\'R)-Lilac aldehyde",71587756,,C[C@@H](C=O)[C@H]1CC[C@](O1)(C)C=C,,,,2.20E+01,ng,0.022000000000000002,flowery,,102
206,"(2R,2\\\'S,5\\\'S)-Lilac aldehyde",5462398,,C[C@@H](C=O)[C@@H]1CC[C@@](O1)(C)C=C,,,,2.00E+01,ng,0.02,flowery,,103
207,"(2S,2\\\'R,5\\\'R)-Lilac aldehyde",71587757,,C[C@H](C=O)[C@H]1CC[C@](O1)(C)C=C,,,,3.00E-01,ng,0.0003,"sweet, flowery",,103
208,"(2R,2\\\'S,5\\\'R)-Lilac aldehyde ",71587758,,C[C@@H](C=O)[C@@H]1CC[C@](O1)(C)C=C,,,,1.80E+01,ng,0.018000000000000002,"flowery, fresh",,104
209,"(2S,2\\\'R,5\\\'S)-Lilac aldehyde ",16667664,This one was added after quality control,C[C@H](C=O)[C@H]1CC[C@@](O1)(C)C=C,,,,,,,,,104
210,"(2R,2\\\'R,5\\\'S)-Lilac aldehyde",71587170,,C[C@@H](C=O)[C@H]1CC[C@@](O1)(C)C=C,,,,4.00E-01,ng,0.0004,"sweet, flowery",,105
211,"(2S,2\\\'S,5\\\'R)-Lilac aldehyde",45113876,,C[C@H](C=O)[C@@H]1CC[C@](O1)(C)C=C,,,,4.00E+00,ng,0.004,"flowery, fresh",,105
212,"(2R,2\\\'S,5\\\'S)-Lilac alcohol",526973,,C[C@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,C[C@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,4.00E+00,ng,0.004,"green, grassy, fresh",,106
213,"(2S,2\\\'R,5\\\'R)-Lilac alcohol",526973,,C[C@@H](CO)[C@@]1(C)CC[C@@](C)(O1)C=C,C[C@@H](CO)[C@@]1(C)CC[C@@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,8.00E+01,ng,0.08,sweet,,106
214,"(2S,2\\\'S,5\\\'S)-Lilac alcohol",526973,,C[C@@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,C[C@@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,2.00E+00,ng,0.002,flowery,,107
215,"(2R,2\\\'R,5\\\'R)-Lilac alcohol",526973,CAS No. 525598-05-4,C[C@H](CO)[C@@]1(C)CC[C@@](C)(O1)C=C,C[C@H](CO)[C@@]1(C)CC[C@@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,,,,,,107
216,"(2R,2\\\'R,5\\\'S)-Lilac alcohol",526973,,C[C@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,C[C@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,4.00E+00,ng,0.004,"flowery, sweet, body",,108
217,"(2S,2\\\'S,5\\\'R)-Lilac alcohol",526973,,C[C@@H](CO)[C@]1(C)CC[C@@](C)(O1)C=C,C[C@@H](CO)[C@]1(C)CC[C@@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,7.40E+01,ng,0.07400000000000001,"herbaceous, slightly flowery",,108
218,"(2S,2\\\'R,5\\\'S)-Lilac alcohol",526973,,C[C@@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,C[C@@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,2.00E+00,ng,0.002,"sweet, flowery",,109
