,Unnamed: 0,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N,log_abs,det
212,212,"(2R,2\\\'S,5\\\'S)-Lilac alcohol",526973,,C[C@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,C[C@H](CO)[C@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,4.00E+00,ng,0.004,"green, grassy, fresh",,106,1.3010299956639813,-2.1180993120779945
216,216,"(2R,2\\\'R,5\\\'S)-Lilac alcohol",526973,,C[C@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,C[C@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,4.00E+00,ng,0.004,"flowery, sweet, body",,108,1.267171728403014,-2.119772895967561
218,218,"(2S,2\\\'R,5\\\'S)-Lilac alcohol",526973,,C[C@@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,C[C@@H](CO)[C@@]1(C)CC[C@](C)(O1)C=C,Extended Leffingwell Name + Cactus,DW,2.00E+00,ng,0.002,"sweet, flowery",,109,1.0413926851582251,-2.4357285695614372
224,224,"(2S,2\\\'S,1\\\'\\\'R)-Nectaryl",175661,,C[C@@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,C[C@@H](C[C@@H]1CCCC1=O)[C@@H]2CCC(=CC2)C,Extended Leffingwell Name + Cactus,DW,1.49E+01,ng/L air,0.0149,"Rather weak and uncharacteristic fruity-lactonic odour with some additional resemblance of green apple, it does not contribute much to the commercial Nectaryl.",,112,2.1239682457420925,-3.653004268994608
226,226,(R)-(+)-4-propylbutan-4-olide,7742,http://www.thegoodscentscompany.com/data/rw1017151.html,CCC[C@@H]1CCC(=O)O1,CCC[C@@H]1CCC(=O)O1,Cactus,DW,7.00E+02,ppb in water,700.0,"sweet, spicy, herbaceous, hay note, coumarin-like",,113,0.10429196663065593,2.894120918002699
228,228,(R)-(+)-4-butylbutan-4-olide,7704,http://www.thegoodscentscompany.com/data/rw1555271.html,CCCC[C@@H]1CCC(=O)O1,CCCC[C@@H]1CCC(=O)O1,Cactus,DW,3.00E+02,ppb in water,300.0,"spicy-green, coconut note, with almond notes (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,114,0.36317790241282566,2.2586261471108937
230,230,(R)-(+)-4-pentylbutan-4-olide,11094875,http://www.thegoodscentscompany.com/data/rw1555291.html,CCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,2.20E+02,ppb in water,220.0,"strong, sweet, soft coconut with fatty-milky aspects (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,115,0.16633142176652502,2.251342211474874
232,232,(R)-(+)-4-hexlbutan-4-olide,183870,http://www.thegoodscentscompany.com/data/rw1555311.html,CCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,3.40E+01,ppb in red wine,34.0,"strong, fatty-sweet fruity note, some reminiscence to coconut, caramel (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips); Bourdineaud et. al. describe this as: Fatty, animalic top note. Upon evaporation clearly different from the racemate with regard to the acidic and animalic base notes; In particular suitable for flavours.",,116,0.14061894089346233,1.596121751763304
234,234,(R)-(+)-4-heptylbutan-4-olide,10154345,http://www.thegoodscentscompany.com/data/rw1555331.html,CCCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,4.00E+00,ppb in water,4.0,"strong, fatty-sweet, reminiscent of peach, with some bloomy aspects (Mosandl & Gunther); strong, sweet, coconut (Yamamoto)",,117,0.47712125471966244,0.7781512503836436
236,236,(R)-(+)-4-octylbutan-4-olide,10888889,http://www.thegoodscentscompany.com/data/rw1555351.html,CCCCCCCC[C@@H]1CCC(=O)O1,,cross checked on cactus,LC,8.00E+00,ppb in red wine,8.0,"strong, fruity-sweet, bloomy note with aldehyde and woody aspects (Mosandl & Gunther, Evaluated as a 1% solution on blotter strips)",,118,0.6879746200345557,1.1230867317467066
238,238,"(3R,4S)-(-)-4-butyl-3-methylbutan-4-olide",102395001,http://www.leffingwell.com/chirality/whiskeylactone.htm,CCCCC[C@@H]1OC(=O)C[C@@H]1C,CCCCC[C@@H]1OC(=O)C[C@@H]1C,chem draw + cactus,LC,305-330,ppb in white wine,305.0,"strong coconut note, reminiscent of celery",,119,0.3381718036685478,2.2830978597080733
240,240,"(3R,4R)-(+)-4-butyl-3-methylbutan-4-olide",102395001,"""""",CCCCC[C@H]1OC(=O)C[C@H]1C,CCCCC[C@H]1OC(=O)C[C@H]1C,chem draw + cactus,LC,1.32E+02,ppb in white wine,132.0,"sweet woody, bright fresh coconut note",,120,0.8195439355418687,1.5407903345890397
242,242,(R)-(+)-5-hexylpentan-5-olide,61204,http://www.perflavory.com/docs/doc1555491.html,CCCCCCC1CCCC(=O)O1,,cross checkec on cactus,LC,1.00E+02,ppb,100.0,"Fruity, sweet, creamy",,121,0.5228787452803376,1.664207898076807
244,244,"(4S,5S)-(+)-cis-4-methyl-5-decanolide or (4S,5S)-(-)-cis-Aerangis lactone",11094871,http://www.thegoodscentscompany.com/data/rw1552341.html,CCCCC[C@@H]1OC(=O)CC[C@@H]1C,CCCCC[C@@H]1OC(=O)CC[C@@H]1C,chem draw + cactus,LC,1.30E-01,ng,0.00013000000000000002,"reminiscent of certain aspects of the smell of the flower of the tuberose (Polianthes tuberosa) and gardenia varieties and on the other hand is reminiscent of caramel, condensed milk and coconut, especially coconut milk",,122,2.3631779024128257,-3.5869045289828767
246,246,"(4S,5R)-trans-4-methyl-5-decanolide or (4S,5R)-trans-aerangis lactone",12839888,copy and pasted the whole thing into google,CCCCC[C@H]1OC(=O)CC[C@@H]1C,CCCCC[C@H]1OC(=O)CC[C@@H]1C,chem draw + cactus,LC,5.00E+01,ng,0.05,"reminiscent of delta-decalactone and cocos, with similar intensity to the cis-(4R,5R)-enantiomer and higher than the trans-(4R,5S)-enantiomer",,123,0.3010299956639812,-1.1760912590556813
248,248,(3R)-Butylphthalide,61361,,CCCCC1C2=CC=CC=C2C(=O)O1,,cross checked on pubchem - direct google result,LC,3.70E-01,ppm,370.0,"Celery stem odor, heavy, somewhat spicy. Less intense in fresh celery odor than (S)-enantiomer.",,124,0.7231036840527382,2.0708770832590457
250,250,"(3S,3aR,7aR)-3-Butylhexahydrophthalide",12367055,,CCCC[C@@H]1OC(=O)[C@@H]2CCCC[C@H]12,CCCC[C@@H]1OC(=O)[C@@H]2CCCC[C@H]12,chem draw + cactus,LC,2.50E+01,ng,0.025,"reminiscent of dry celery leaves by GC-O; also described as \\xe2\\x80\\x9ccelery, fruity""",,125,0.3010299956639812,-1.7781512503836436
252,252,"(+)-(3R,3aR)-Sedanolide - 99.1% ee ",12315452,,CCCC[C@@H]1[C@@H]2CCCC=C2C(=O)O1,,cross checked on pubchem - direct google result,LC,1.60E+00,ppm,160000.0,"Natural celery stem odor, herbal, and bitter.",,126,0.07463361829690418,5.2398355349224595
254,254,(-)-(S)-Sedanenolide,3085257,,CCCC[C@H]1C2=C(C=CCC2)C(=O)O1,,,,1.40E-01,ppm,140.0,"Celery stem odor, strong, fresh, with aspects reminiscent of celery fibers.",,127,0.6320232147054056,2.3560775619948866
256,256,"(+)-(3S,3aS,6S,7aS)-Perhydro-3,6-dimethyl-2-benzo[b]furanone",22857118,http://www.leffingwell.com/chirality/menthanelactone2.htm,C[C@H]1CC[C@H]2[C@H](C)C(=O)O[C@H]2C1,C[C@H]1CC[C@H]2[C@H](C)C(=O)O[C@H]2C1,chem draw + cactus ,LC,5.00E-01,ng/L air,0.0005,coconut like by GC-O (Katja Buhr),,128,0.5228787452803376,-3.6368220975871743
258,258,"(3S,3aR,7aR)-Wine lactone",6427076,CAS No. 78168-35-1 from http://www.molbase.com/moldata/22251685.html#,"C[C@H]1[C@H]2CCC(=C[C@@H]2OC1=O)C\n","C[C@H]1[C@H]2CCC(=C[C@@H]2OC1=O)C\n",chem draw + cactus ,LC,0.05-0.2,ng/L air,5e-05,cocount like,,129,2.2041199826559246,-4.002705893375925
260,260,"(3S,3aS,7aS)-Wine lactone",6427076,"""""","C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C","C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C",chem draw + cactus,LC,0.007-0.014,ng/L air,7.000000000000002e-06,coconut like,,130,3.3010299956639813,-4.854089057293992
262,262,"(-)-(S)-4,8-dimethylnon-7-en-4-olide",9942315,,CC(C)=CCC[C@@]1(C)CCC(=O)O1,CC(C)=CCC[C@@]1(C)CCC(=O)O1,cactus,LC,6.50E-01,ppb (in water),0.65,fresh fruity lactone odour with peach and/or pear-like nuances It also has green and floral notes,,131,0.6087933739869308,-0.5904216839158881
264,264,(R)-cis-6-gamma-dodecenolactone,5352428,http://bioinformatics.charite.de/mvoc/index.php?site=ergebnis&species=Dinoroseobacter%20sp.,CCCCC/C=C/C[C@H]1CCC(=O)O1\r,CCCCC/C=C/C[C@H]1CCC(=O)O1\r,chem draw + cactus,LC,1.22E+01,pg(in air),0.0122,"flowery, fruity, coconut-, peach- and apricot-like. The odor of the (R)-enanantiomer was described as being significantly weaker than the (S)-enantiomer, although no sensory differences in odor quality were noted",,132,0.4236019989931742,-2.1751616237055593
266,266,(+)-(S)-Sotolone,5325921,CAS No. 87068-69-7 from http://www.molbase.com/moldata/3566993.html,C[C@@H]1OC(=O)C(=C1C)O,C[C@@H]1OC(=O)C(=C1C)O,chem draw + cactus,LC,8.00E-01,ppb,0.8,"curry, walnut (strongly caramelic)",,133,0.04630001965296922,-0.07437671531283598
268,268,(4S)-(+)-Dihydrobovolide,11788657,http://www.leffingwell.com/chirality/dihydrobovolide.htm,CCCCCC1OC(=O)C(=C1C)C,CCCCCC1OC(=O)C(=C1C)C,chem draw + cactus,LC,3.70E+00,ppm,3700.0,"deep green tea notes (a metallic, spicy, green tea note)",,134,0.3640817414110702,3.349075832786112
270,270,"(2R,4S)-(-)-cis-2-methyl-4-propyl.-1,2-oxathiane",101010,copy and pasted the entire name into google,CCC[C@H]1CCO[C@H](S1)C,CCC[C@H]1CCO[C@H](S1)C,from pubchem - direct from google search,LC,4.00E+00,,4000.0,"sulfurous, herbaceous-green, roasty, linseed oil-like, onion; described by Ohloff as fresh, floral, less sulfury than the 2S,4R-isomer",,135,0.3010299956639812,3.425968732272281
272,272,"(1R,2R)-(-)-Methyl dihydrojasmonate",1738124,For this group of molecule with no units for detection threshold I assumed ppm,CCCCC[C@@H]1[C@H](CCC1=O)CC(=O)OC,,cross checked with chem draw + cactus,LC,2.40E+02,,240000.0,"Floral, sweet, jasminelike",,136,1.8073094791248572,5.6745252094882215
274,274,"(1R,2S)-(+)-Methyl epidihydrojasmonate",102861,Copy and Pasted the name into Google,"CCCCC[C@@H]1[C@@H](CCC1=O)CC(=O)OC","CCCCC[C@@H]1[C@@H](CCC1=O)CC(=O)OC",chem draw + cactus,LC,1.50E+01,,15000.0,"Intensely floral, jasminelike, bright, cis-jasmone, slightly fatty, woody, \\xc3\\x9f-ionone like, extremely long lasting",,137,2.9208187539523753,4.476600413783477
276,276,"(-)-(1R,2S,2\\\'S,4R)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",73555446,CAS No. 188199-50-0 from http://www.thegoodscentscompany.com/data/rw1697031.html; http://www.thegoodscentscompany.com/opl/188199-50-0.html,CC(C)[C@@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,2.00E-01,ng/L air,0.0002,"Amber, woody, cedarwood, animal, strong",,138,2.6434526764861874,-3.3989259216536887
278,278,"(+)-(1R,2S,2\\\'R,4R)-2\\\'-isopropyl-1,7,7-trimethylspiro[bicyclo[2.2.1]heptane-2,4\\\'-[1,3]dioxane]",44147112,CAS No. 385766-33-6 from https://iaspub.epa.gov/sor_internet/registry/substreg/searchandretrieve/advancedsearch/externalSearch.do?p_type=CASNO&p_value=385766-33-6,CC(C)[C@H]1OCC[C@@]2(O1)C[C@H]3CCC2(C3(C)C)C,,,,4.00E+01,ng/L air,0.04,"Woody, cedarwood, rosy, spicy, weak",,139,0.0,-1.3979400086720375
280,280,"(2R,4S)-cis-2-Methyl-4-phenyl-[1,3]dioxolane",9877472,http://www.leffingwell.com/chirality/2-methyl-4-phenyl-1_3-dioxolanes.htm,"C[C@@H]1OC[C@@H](O1)c2ccccc2","C[C@@H]1OC[C@@H](O1)c2ccccc2",chem draw + cactus,LC,1.25E+02,ug/Liter,125.0,"Strong, clear, indole, rose-jasmine, the strongest- and best-smelling enantiomer",,140,0.4874212113594744,2.2755534507028097
282,282,"(2S,4S)-trans-2-Methyl-4-phenyl-[1,3]dioxolane",10374766,http://www.leffingwell.com/chirality/2-methyl-4-phenyl-1_3-dioxolanes.htm,"C[C@H]1OC[C@@H](O1)c2ccccc2","C[C@H]1OC[C@@H](O1)c2ccccc2",chem draw + cactus,LC,3.84E+02,ug/Liter,384.0,"Floral, woody, diphenyl ether, rose, animal, chocolate note",,141,0.18578407041957085,2.667363674550262
284,284,(+)-(S)-Florhydral\\xc2\\xae,86209,http://www.leffingwell.com/chirality/florhydral.htm,CC(C)c1cccc(c1)[C@@H](C)CC=O\r,CC(C)c1cccc(c1)[C@@H](C)CC=O\r,chem draw + cactus,LC,3.50E-02,ng/L air,0.035,"In comparison with the racemate, the (+)-enantiomer has a more green, less watery, and more powerful fragrance",,142,0.400414627799893,-1.3003243992749725
286,286,"(-)-(4S,4aS,8aR)-Geosmin",29746,,"C[C@H]1CCC[C@@]2(C)CCCC[C@]12O","C[C@H]1CCC[C@@]2(C)CCCC[C@]12O",chem draw + cactus,LC,0.0082-0.018,ppb,0.0082,earthy-musty. The (-) enantiomer is much more odoriferous than the (+) form. The (-)-enantiomer is the one found in nature,,143,0.905730083158152,-1.8360161216894604
288,288,(2S)-(+)-2-hexylcyclopentanone,114454,I assumed ppm for these molecules units of detection threshold; http://www.leffingwell.com/chirality/hexylcyclopentanone.htm ,"CCCCCC[C@H]1CCCC1=O","CCCCCC[C@H]1CCCC1=O",chem draw + cactus,LC,7.00E+01,,70000.0,Powerful diffusive warm jasmine-like floral odor with coconut-like fruity and slightly herbaceous note,,144,0.0,4.845098040014257
290,290,(2S)-(+)-2-heptylcyclopentanone,8710,http://www.leffingwell.com/chirality/heptylcyclopentanone.htm,CCCCCCC[C@@]1(C)CCCC1=O\r,CCCCCCC[C@@]1(C)CCCC1=O\r,chem draw + cactus,LC,1.00E+01,,10000.0,"Heavy, coconut-like oily fruity and jasmine-like floral odor with somewhat herbaceous side note",,145,0.0,4.0
292,292,(-)-(R)-2-methoxy-3-[1-methylpropyl]pyrazine,520098,,CC[C@@H](C)c1nccnc1OC,CC[C@@H](C)c1nccnc1OC,chem draw + cactus,LC,1.00E-01,,100.0,"a burdocklike, green and earthy odor; Qualitatively, there is no significant difference between the organoleptic properties of the (S)-(+)-, (R)-(-) enantiomers or the racemate but the (-)-(R)-2-methoxy-3-[1-methylpropyl]pyrazine appears to have a somewhat more burdock like aroma than its antipode",,146,0.0,2.0
294,294,"(+)-(4R,7S)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",57907421,Copy and pasted the enitre name into google; http://www.leffingwell.com/chirality/methylisopropyltetrahydrobenzothiazole.htm,"CC(C)C1CC[C@H](C)c2scnc12","CC(C)C1CC[C@H](C)c2scnc12",chem draw + cactus,LC,1.80E-01,ppb,0.118,Bell pepper odor,,147,2.2705406735160807,-0.6294111699328747
296,296,"(+)-methyl (1R)-1,4-dimethylcyclohex-3-ene-1-carboxylate",92279511,,COC(=O)[C@]1(C)CCC(=CC1)C\r,COC(=O)[C@]1(C)CCC(=CC1)C\r,chem draw + cactus,LC,5.85E+00,ppb,5.85,"very fresh, fruity-mint-anisic with a light pear note",,148,0.5360401913383085,0.9572445569821739
298,298,"(+)-(2S,4S)-Florol\\xc2\\xae",12104424,,CC(C)C[C@H]1C[C@@](CCO1)(C)O,,,,2.60E+01,ng/L air,0.026,"Second most intense Florol stereoisomer, but already much weaker. Similar fresh-floral note as the enantiomer, but less sweet and also more linalool-type, more herbaceous, and more earthy in tonality",,149,1.332187977654368,-2.6359398278285084
300,300,(+)-(2R)-Tropional\\xc2\\xae,64805,,CC(CC1=CC2=C(C=C1)OCO2)C=O,,,,3.43E+00,ng/L air,0.00343,"floral (Lily of the valley and cyclamen), aldehydic, sweet fruity (lemon)",,150,0.2708858539411167,-2.3500494281414968
302,302,"(-)-(1R,2S)-Georgywood\\xc2\\xae = ""Georgyone""",11322274,,C[C@@H]1C2=C(CCCC2(C)C)CC[C@]1(C)C(=O)C,,,,2.00E+01,ng/L,0.02,"Woody-ambery; Bottom note: Fresh, minty, green, sweet (Frater, et. al.); Hong & Corey describe the odor as ""an intense clean woody odor""",,151,0.7569619513137056,-2.224939826593498
304,304,"(+)-(1R,2R)-2-tert-butylcyclohexyl acetate",76972365,,CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C\r,CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C\r,chem draw + cactus,LC,8.00E+01,mg/L air,80000.0,reminiscent of a peach and a plum - it had a distinctly characteristic sweet fruity aroma,,152,0.3010299956639812,5.028028723600244
306,306,"(-)-(1R,2R)-2-tert-butylcyclohexanol",26068,http://www.leffingwell.com/chirality/2-tert-butylcyclohexanol.htm,CC(C)(C)[C@H]1CCCC[C@H]1O\r,CC(C)(C)[C@H]1CCCC[C@H]1O\r,chem draw + cactus,LC,4.00E+01,mg/L air,40000.0,strong fresh green aroma with Woody camphor notes,,153,0.3010299956639812,4.726998727936262
308,308,"(+)-(2S,3R)-Magnolione\\xc2\\xae",12162210,,CCCCC[C@H]1[C@H](CCC1=O)CC(=O)C,,,,2.90E-01,ng/L,0.00029,"floral, jasmine, fruity, fresh most intense",,154,1.3888603508201192,-3.253958096112813
310,310,"(2S,3S)-Magnolione\\xc2\\xae",71404439,,CCCCC[C@H]1[C@@H](CCC1=O)CC(=O)C,,,,6.00E-01,ng/L,0.0006,"mushrooms, food like, metallic, floral, jasmine weak",,155,0.09108046934733258,-3.178691832586207
312,312,"(+)-(4S,4aS,8aS)-dehydrogeosmin",11084487,,C[C@H]1CCC[C@@]2(C)CC=CC[C@]12O\n,C[C@H]1CCC[C@@]2(C)CC=CC[C@]12O\n,chem draw + cactus,LC,1.40E+02,pg/L air,0.14,"strong, camphoraceous, earthy-musty tonality which is reminiscent of freshly ploughed soil - the natural (+) stereoisomer exhibiting a fresher and stronger camphoraceous tonality than the (-) isomer",,156,1.146128035678238,-1.728933227713462
314,314,(+)-2-{[(1S)-1-methylpropyl]oxy}pyrazine,520098,CAS No.24168-70-5 from https://www.sigmaaldrich.com/catalog/product/aldrich/w343307?lang=en&region=US; http://www.leffingwell.com/chirality/methylpropyloxypyrazine.htm,"CC[C@H](C)Oc1cnccn1","CC[C@H](C)Oc1cnccn1",chem draw + cactus,LC,1.00E+02,,100000.0,"Green, dusty. Qualitatively, there appears to be no significant difference between the organoleptic properties of the enantiomers or racemate",,157,0.0,5.0
316,316,(+)-2-{[(1S)-1-methylbutyl]oxy}pyrazine,519564,Searched on google and got this: https://pubchem.ncbi.nlm.nih.gov/compound/Pyrazine_-2_5-dimethyl-3-_3-methylbutyl but unsure it could also be https://pubchem.ncbi.nlm.nih.gov/compound/2_5-Dimethyl-3-_2-methylbutyl_pyrazine ?,CCC[C@H](C)Oc1cnccn1\r,CCC[C@H](C)Oc1cnccn1\r,chem draw + cactus,LC,1.00E+02,,100000.0,"Fatty, metallic, green. Qualitatively, there appears to be no significant difference between the organoleptic properties of the enantiomers or racemate",,158,0.0,5.0
318,318,(+)-2-{[(1S)-1-methylhexyl]oxy}pyrazine,124775,Searched on google and this: https://pubchem.ncbi.nlm.nih.gov/compound/2-_5-methylhexoxycarbonyl_benzoic-acid,CCCCC[C@H](C)Oc1cnccn1\r,CCCCC[C@H](C)Oc1cnccn1\r,chem draw + cactus,LC,7.00E+01,,70000.0,"Green, metallic, fatty, burdock. Qualitatively, there appears to be no significant difference between the organoleptic properties of the enantiomers or racemate",,159,0.4559319556497244,5.015794267183232
320,320,(+)-2-{[(1S)-1-methylheptyl]oxy}pyrazine,122379392,,"CCCCCC[C@H](C)Oc1cnccn1\r","CCCCCC[C@H](C)Oc1cnccn1\r",chem draw + cactus,LC,3.00E+01,,30000.0,"Green, fishy, amine-like, fatty. Qualitatively, there appears to be no significant difference between the organoleptic properties of the enantiomers or racemate",,160,0.47712125471966244,4.653212513775344
322,322,"(+)-2-(1S,2R,5S)-menthyloxypyrazine",165675,CAS No. 15356-60-2  https://www.sigmaaldrich.com/catalog/product/aldrich/224464?lang=en&region=US;http://www.leffingwell.com/chirality/menthyloxypyrazine.htm,C[C@H]1CC[C@H](C(C)C)[C@H](C1)Oc2cnccn2\r,C[C@H]1CC[C@H](C(C)C)[C@H](C1)Oc2cnccn2\r,chem draw + cactus,LC,1.00E+01,,10000.0,"Fruity, sweet. Qualitatively, there appears to be no significant difference between the organoleptic properties of the enantiomers or racemate",,161,0.6989700043360187,3.5228787452803374
324,324,(R)-(-)-Citralis Nitrile,103875,http://www.thegoodscentscompany.com/data/rw1112911.html,"C[C@H](CCc1ccccc1)CC#N","C[C@H](CCc1ccccc1)CC#N",chem draw + cactus,LC,6.80E+00,ng/L,0.0068,"is \\xe2\\x80\\x98similar in smell, but slightly stronger, and with additional waxy aspects, and a more pronounced green, leafy side\\xe2\\x80\\x99 (compared to its enantiomer)",,162,0.2644011003018201,-2.0551083876294998
326,326,(R)-(+)-Citralis,108313,http://www.thegoodscentscompany.com/data/rw1000491.html,C[C@H](CCc1ccccc1)CC=O,C[C@H](CCc1ccccc1)CC=O,Extended Leffingwell Name + Cactus,DW,2.50E+00,ng/L air,0.0025,"is \\xe2\\x80\\x98very close to racemic Citralis, and stronger than its antipode; aldehydic, fresh, floral, citronellal-like odour, reminiscent of verbena and lemongrass; a somewhat slightly latex and plastic connotation is present as well\\xe2\\x80\\x99",,163,0.49968708261840383,-2.42043624367232
328,328,(R)-(+)-Phenoxanol,108312,http://www.thegoodscentscompany.com/data/rw1047241.html,C[C@@H](CCO)CCc1ccccc1\r,C[C@@H](CCO)CCc1ccccc1\r,chem draw + cactus,LC,1.25E+01,ng/L air,0.0125,"is \\\'reminiscent of racemic Phenoxanol, but weaker. Its rose character is harsher, fattier and more metallic compared to the racemate and its antipod\\\'",,164,0.39794000867203766,-2.146128035678238
330,330,"(-)-(9R,10S)-10-Acetyl-9,10-dimethylbicyclo[6.4.0]dodec-1(8)-ene",0,,C[C@@H]1C2=C(CCCCCC2)CC[C@]1(C)C(C)=O,C[C@@H]1C2=C(CCCCCC2)CC[C@]1(C)C(C)=O,chem draw + cactus,LC,1.90E-01,ng/L air,0.00019,"it emanates a strong woody-ambery odor reminiscent of Iso E Super, Georgywood and cedarwood, and has an odor threshold of 0.19 ng/L air which is about 100 times stronger than its enantiomer",,165,2.0222763947111524,-3.4243227266628478
332,332,"(+)-(2S,4S)-Okoumal",3034278,http://www.thegoodscentscompany.com/data/rw1131071.html,"C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CCC3(C)C","C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CCC3(C)C",chem draw + cactus,LC,2.00E+00,ng/L air (+/-0.72),0.002,"weak, ambery with woody facets, somewhat okoumal-like",,166,0.6989700043360187,-3.1760912590556813
334,334,"(-)-(2S,4R)-Okoumal",3034278,"""""",C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CCC3(C)C,C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)C(C)(C)CCC3(C)C,chem draw + cactus,LC,1.25E+01,ng/L air(+/-0.0),0.0125,"very weak, ambery odor with woody facets, which during dry-down decreases rapidly in intensity",,167,1.3645162531850878,-2.9849438229008953
336,336,"(+)-(2S,4S)-Disila-okoumal",3034278,http://www.thegoodscentscompany.com/data/rw1131072.html,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)CC[Si]3(C)C\r,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)CC[Si]3(C)C\r,chem draw + cactus,LC,6.30E+00,ng/L air(+/-10.5),0.0063,"very weak to odorless on the blotter, only faintly ambery-woody",,168,1.307978855619309,-3.2284692205338046
338,338,"(-)-(2S,4R)-Disila-okoumal",3034278,"""""",C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)CC[Si]3(C)C\n,C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)CC[Si]3(C)C\n,chem draw + cactus ,LC,6.80E+00,ng/L air(+/-4.3),0.0068,"very weak to odorless on the blotter, only slightly ambery-woody, with some faint reminiscence to okoumal",,169,1.3411472188719635,-3.226968998525276
340,340,(R)-(+)-Nicotine,157672,,CN1CCC[C@@H]1C2=CN=CC=C2,,cross checked on pubchem,LC,6.60E+01,ppm,66000.0,"statistical evaluation (t-test) revealed that the subjects were able to identify R(+)- and S(-)-nicotine at olfactory and trigeminal concentrations...At concentrations near the detection thresholds, i.e., clearly below subjective pain thresholds, smokers rated both nicotine stereoisomers to be significantly more pleasant than did nonsmokers... the S(-) isomer was perceived as pleasant by smokers, but not by non-smokers",,170,0.0,4.819543935541868
342,342,(R)-Celery Ketone,3782139,,CCC[C@@H]1CC(=CC(=O)C1)C\r,CCC[C@@H]1CC(=CC(=O)C1)C\r,chem draw + cactus ,LC,9.1-1,ng/L air,0.0091,"Celery leaves, arnica, jasmone, slightly reminiscent of everlastings and fenugreek",,171,0.6989700043360189,-1.81910985806255
344,344,"(2S,4S)-2,4-Dimethyl-2-(1,1,3,3-tetramethyl-2-oxa-1,3-disilaindan-5-yl)-1,3-dioxolane",3034278,"Copy and pasted the whole name into Google, first pubchem id; CAS No. 1240699-64-2 from http://www.molbase.com/moldata/15835001.html",C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)O[Si]3(C)C\r,C[C@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)O[Si]3(C)C\r,chem draw + cactus ,LC,1.80E+00,ngL-1 air(+/- 0.88 s.d.),0.0018,"a woody\\xe2\\x80\\x93ambery odor in the okoumal family with some additional facets reminiscent of karanal; linear in the drydown, slightly sweet\\xe2\\x80\\x93musky in the endnote",,172,1.0871501757189002,-2.4778517754670184
346,346,"(2S,4R)-2,4-Dimethyl-2-(1,1,3,3-tetramethyl-2-oxa-1,3-disilaindan-5-yl)-1,3-dioxolane",3034278,"""""; CAS No. 1240699-62-0 from http://www.molbase.com/moldata/15834997.html",C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)O[Si]3(C)C\r,C[C@@H]1CO[C@@](C)(O1)c2ccc3c(c2)[Si](C)(C)O[Si]3(C)C\r,chem draw + cactus,LC,1.70E+01,ngL-1 air(+/- 20 s.d.),0.017,very weak woody\\xe2\\x80\\x93ambery odor with some resemblance to okoumal,,173,0.7680509234793179,-2.3049761614684954
